name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,day,month,year,weekday,is_weekend,temp_lag_1,precip_lag_1,humidity_lag_1,temp_lag_2,precip_lag_2,humidity_lag_2,temp_lag_3,precip_lag_3,humidity_lag_3,temp_lag_7,precip_lag_7,humidity_lag_7
valencia,2023-04-22,23.4,11.9,17.6,23.4,11.9,17.6,11.8,70.4,0.657,100.0,8.33,rain,0.0,0.0,27.4,18.0,81.4,1010.5,62.2,11.9,212.8,18.3,8,10.0,2023-04-22T07:14:54,2023-04-22T20:45:58,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",22,4,2023,5,1,17.6,0.0,65.7,17.5,0.0,47.9,15.5,0.0,60.1,21.4,0.0,32.6
valencia,2023-04-29,29.9,15.8,20.7,28.6,15.8,20.6,14.3,69.2,0.047,100.0,4.17,rain,0.0,0.0,36.4,21.7,92.4,1012.9,57.5,12.9,162.1,13.9,5,10.0,2023-04-29T07:05:36,2023-04-29T20:52:55,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",29,4,2023,5,1,18.9,0.0,74.0,18.5,0.0,75.9,19.0,0.0,72.1,17.6,0.657,70.4
valencia,2023-05-07,24.8,16.4,19.8,24.8,16.4,19.8,13.1,66.4,0.0,0.0,0.0,rain,0.0,0.0,31.3,21.1,64.9,1017.3,42.6,12.4,204.6,17.6,9,10.0,2023-05-07T06:56:06,2023-05-07T21:00:45,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",7,5,2023,6,1,19.7,0.0,63.3,19.6,0.0,72.8,18.9,0.0,63.2,20.5,0.0,65.0
valencia,2023-05-12,20.7,13.5,17.5,20.7,13.5,17.5,7.7,54.2,1.66,100.0,8.33,rain,0.0,0.0,34.2,21.8,106.2,1014.7,39.8,12.9,255.1,22.0,9,10.0,2023-05-12T06:50:52,2023-05-12T21:05:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",12,5,2023,4,0,19.3,0.0,59.1,20.3,0.0,61.2,21.1,0.0,54.8,19.6,0.0,72.8
valencia,2023-05-13,20.8,10.4,15.4,20.8,10.4,15.4,8.6,66.7,1.771,100.0,16.67,rain,0.0,0.0,33.5,16.2,341.4,1017.0,36.7,13.3,262.8,22.5,10,10.0,2023-05-13T06:49:53,2023-05-13T21:06:29,0.78,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",13,5,2023,5,1,17.5,1.66,54.2,19.3,0.0,59.1,20.3,0.0,61.2,19.7,0.0,63.3
valencia,2023-05-14,23.9,11.5,17.7,23.9,11.5,17.7,8.0,56.6,0.4,100.0,8.33,rain,0.0,0.0,42.5,21.1,136.6,1016.7,22.9,13.5,319.8,27.7,10,10.0,2023-05-14T06:48:56,2023-05-14T21:07:25,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",14,5,2023,6,1,15.4,1.771,66.7,17.5,1.66,54.2,19.3,0.0,59.1,19.8,0.0,66.4
valencia,2023-05-18,22.0,14.2,18.1,22.0,14.2,18.1,10.6,63.5,3.906,100.0,4.17,rain,0.0,0.0,33.8,25.5,112.1,1016.7,44.8,12.6,294.1,25.4,9,10.0,2023-05-18T06:45:24,2023-05-18T21:11:05,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",18,5,2023,3,0,18.0,0.0,43.4,20.2,0.0,35.1,18.5,0.0,49.3,19.3,0.0,59.1
valencia,2023-05-19,21.5,14.4,18.1,21.5,14.4,18.1,8.7,56.0,1.074,100.0,8.33,rain,0.0,0.0,24.8,22.6,127.0,1016.2,47.0,12.7,264.0,22.7,10,10.0,2023-05-19T06:44:35,2023-05-19T21:11:58,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",19,5,2023,4,0,18.1,3.906,63.5,18.0,0.0,43.4,20.2,0.0,35.1,17.5,1.66,54.2
valencia,2023-05-20,23.0,11.6,17.8,23.0,11.6,17.8,7.0,50.8,0.0,0.0,0.0,rain,0.0,0.0,32.0,21.8,96.5,1013.6,29.3,12.8,297.6,25.8,10,10.0,2023-05-20T06:43:48,2023-05-20T21:12:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",20,5,2023,5,1,18.1,1.074,56.0,18.1,3.906,63.5,18.0,0.0,43.4,15.4,1.771,66.7
valencia,2023-05-21,23.5,11.5,18.3,23.5,11.5,18.3,9.6,58.5,0.0,0.0,0.0,rain,0.0,0.0,34.2,18.3,77.2,1011.9,40.2,13.4,296.7,25.6,9,10.0,2023-05-21T06:43:02,2023-05-21T21:13:44,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999",21,5,2023,6,1,17.8,0.0,50.8,18.1,1.074,56.0,18.1,3.906,63.5,17.7,0.4,56.6
