name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,day,month,year,weekday,is_weekend,temp_lag_1,precip_lag_1,humidity_lag_1,temp_lag_2,precip_lag_2,humidity_lag_2,temp_lag_3,precip_lag_3,humidity_lag_3,temp_lag_7,precip_lag_7,humidity_lag_7
valencia,2018-03-22,15.0,4.3,10.2,15.0,1.4,9.5,-4.4,36.6,0.0,0.0,0.0,,0.0,0.0,20.8,12.4,281.5,1020.3,12.0,8.4,199.2,16.9,7.0,,2018-03-22T07:01:59,2018-03-22T19:15:23,0.18,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",22,3,2018,3,0,10.0,0.0,32.9,9.6,0.0,39.7,11.1,4.601,52.7,15.6,0.0,50.0
valencia,2018-03-23,23.5,7.8,14.8,23.5,5.7,14.4,0.1,38.4,0.0,0.0,0.0,,0.0,0.0,34.4,21.3,263.7,1010.4,28.0,8.0,165.6,14.4,6.0,,2018-03-23T07:00:23,2018-03-23T19:16:23,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",23,3,2018,4,0,10.2,0.0,36.6,10.0,0.0,32.9,9.6,0.0,39.7,14.7,0.0,42.3
valencia,2018-03-24,17.6,11.1,14.4,17.6,11.1,14.4,1.6,43.2,0.392,100.0,8.33,rain,0.0,0.0,45.2,27.4,280.6,999.0,37.3,8.2,185.6,16.0,6.0,,2018-03-24T06:58:47,2018-03-24T19:17:23,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",24,3,2018,5,1,14.8,0.0,38.4,10.2,0.0,36.6,10.0,0.0,32.9,12.1,0.291,51.3
valencia,2018-03-25,18.6,9.2,13.0,18.6,8.2,12.9,2.5,50.3,0.109,100.0,4.17,rain,0.0,0.0,29.1,12.3,285.3,1007.6,42.9,7.6,147.7,12.1,5.0,,2018-03-25T07:57:11,2018-03-25T20:18:23,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",25,3,2018,6,1,14.4,0.392,43.2,14.8,0.0,38.4,10.2,0.0,36.6,13.6,0.0,41.5
valencia,2018-03-26,20.6,6.0,14.0,20.6,3.3,13.6,2.6,49.6,0.096,100.0,4.17,rain,0.0,0.0,23.0,15.0,298.3,1017.7,21.6,8.4,240.7,20.8,8.0,,2018-03-26T07:55:36,2018-03-26T20:19:23,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",26,3,2018,0,0,13.0,0.109,50.3,14.4,0.392,43.2,14.8,0.0,38.4,11.1,4.601,52.7
valencia,2018-03-27,22.9,9.8,16.3,22.9,9.0,16.2,3.3,42.7,0.0,0.0,0.0,,0.0,0.0,14.8,11.1,193.7,1021.5,17.1,8.2,205.8,17.6,7.0,,2018-03-27T07:54:00,2018-03-27T20:20:23,0.35,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",27,3,2018,1,0,14.0,0.096,49.6,13.0,0.109,50.3,14.4,0.392,43.2,9.6,0.0,39.7
valencia,2018-03-28,30.1,11.4,20.0,28.2,11.4,19.7,5.1,42.1,0.0,0.0,0.0,,0.0,0.0,21.5,11.7,243.2,1015.5,10.7,8.9,226.8,19.7,7.0,,2018-03-28T07:52:24,2018-03-28T20:21:22,0.39,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,D2213,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",28,3,2018,2,0,16.3,0.0,42.7,14.0,0.096,49.6,13.0,0.109,50.3,10.0,0.0,32.9
valencia,2018-03-29,24.1,14.0,18.6,24.1,14.0,18.6,4.6,40.9,0.0,0.0,0.0,,0.0,0.0,22.6,15.5,230.8,1009.1,29.7,8.2,179.1,15.4,6.0,,2018-03-29T07:50:49,2018-03-29T20:22:22,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",29,3,2018,3,0,20.0,0.0,42.1,16.3,0.0,42.7,14.0,0.096,49.6,10.2,0.0,36.6
valencia,2018-03-30,20.1,13.0,16.0,20.1,13.0,16.0,1.3,37.4,0.0,0.0,0.0,,0.0,0.0,35.8,21.6,252.1,1005.9,19.7,8.4,213.4,18.2,7.0,,2018-03-30T07:49:13,2018-03-30T20:23:21,0.46,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",30,3,2018,4,0,18.6,0.0,40.9,20.0,0.0,42.1,16.3,0.0,42.7,14.8,0.0,38.4
valencia,2018-03-31,20.6,9.5,14.8,20.6,6.0,14.7,-0.4,37.7,1.351,100.0,4.17,rain,0.0,0.0,44.8,29.0,269.2,1009.8,22.1,8.8,223.7,19.4,7.0,,2018-03-31T07:47:38,2018-03-31T20:24:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999",31,3,2018,5,1,16.0,0.0,37.4,18.6,0.0,40.9,20.0,0.0,42.1,14.4,0.392,43.2
